BookTitle,Author
"An Introduction to Multivariate Statistical Analysis","T.W. Anderson"
"Applied Multivariate Data Analysis","J.D. Jobson"
"Automata and Computability","Dexter C. Kozen"
"C++ and Object-Oriented Programming Paradigm,","Debasish Jana"
"Cluster Analysis for Applications","M.R. Anderberg"
"Computer Architecture and Organization","John P. Hayes"
"Computer Organization and Architecture: Designing for Performance","William Stallings"
"Computer Organization and Design: The Hardware/Software Interface","David A. Patterson and John L. Hennessy"
"Computer Organization and Embedded Systems","Carl Hamacher"
"Computer System Architecture","M. M. Mano"
"Computer System Design and Architecture","Vincent P. Heuring and Harry F. Jordan"
"Computers and Intractability: A Guide to the Theory of NP Completeness","M. R. Garey and D. S. Johnson"
"Elements of the Theory of Computation","Harry R. Lewis and Christos H. Papadimitriou"
"Fundamentals of Software Engineering","Carlo Ghezzi, Jazayeri Mehdi, Mandrioli Dino"
"Introduction to Automata Theory, Languages, and Computation","John E. Hopcroft, Rajeev Motwani and Jeffrey D. Ullman"
"Introduction to Languages and the Theory of Computation","John Martin"
"Introduction to the Theory of Computation","Michael Sipser"
"Object Oriented Software Engineering: A Use Case Driven Approach","Ivar Jacobson"
"Object-Oriented Software Construction","Bertrand Meyer"
"Programming – Principles and Practice Using C++","Bjarne Stroustrup and Addison Wesley"
"Programming Python","Mark Lutz"
"Python 3 for Absolute Beginners","Tim Hall and J-P Stacey"
"Python for Data Analysis","Wes Mc Kinney"
"Software Engineering","Ian Sommerville"
"Software Requirements and Specification: A Lexicon of Practice, Principles and Prejudices","Michael Jackson"
"Statistical Tests for Multivariate Analysis","H. Kris"
"The C++ Programming Language","Bjarne Stroustrup qnd Addison Wesley"
"The Design and Evolution of C++","Bjarne Stroustrup and Addison Wesley"
"The Unified Development Process","Ivar Jacobson, Grady Booch and James Rumbaugh"
"Theory Of Computation","Vivek Kulkarni "
